,Name,key,Style,Style Key,Brewery,Description,ABV,Ave Rating,Min IBU,Max IBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,brewery_review_exists,Beer Name (Full),beer_review_exists
1069,Abbey Dubbel,520,Dubbel,14,Flying Fish Brewing Company,Notes:,7.2,3.59,15,30,5,41,13,20,95,14,0,49,13,18,65,1,Flying Fish Brewing Company Bourbon Barrel Abbey Dubbel,1
1070,Bornem Double,521,Dubbel,14,Brouwerij Van Steenberge N.V.,Notes:,8.0,3.75,15,30,10,44,15,19,100,25,0,56,15,22,72,1,Brouwerij Van Steenberge N.V. Bornem Dubbel,1
1071,Affligem Dubbel,522,Dubbel,14,Brouwerij De Smedt / Brouwerij Affligem,Notes:,6.8,3.83,15,30,9,30,12,17,60,29,0,38,14,17,39,1,Brouwerij De Smedt / Brouwerij Affligem Affligem Dubbel,1
1072,Abbey Ale,523,Dubbel,14,Abita Brewing Co.,"Notes:Abbey Ale honors the ancient tradition of monks who perfected the art of brewing beer to support the monastery and their ""liquid bread"". We offer up our support and thank them with a 25¢ donation to St. Joseph's Abbey with every bottle sold of this heavenly brew. Dark amber in color, the aroma of caramel, fruits and cloves invites you to contemplate the creamy head of this ""Dubbel"" or double ale. Abita Abbey Ale is a malty brew, top-fermented and bottle aged to rapturous perfection.32 IBU	",8.0,3.69,15,30,4,39,12,12,82,43,0,54,16,39,78,1,Abita Brewing Co. Abbey Ale,1
1073,Resurrection,524,Dubbel,14,The Brewer's Art,"Notes:During the fermentation of the first batch of this Abbey-style dubbel, the yeast «died» and was «resurrected» by brewer Chris Cashell. Made with five types of barley malt and lots of sugar, this beer is quite strong and flavorful, without being too sweet. 7%abv	",7.0,3.87,15,30,14,35,26,25,81,27,2,35,38,27,66,1,The Brewer's Art Brewer's Art Resurrection,1
1074,Brother David's Belgian-style Double Ale,525,Dubbel,14,Anderson Valley Brewing Company,"Notes:Inspired by the classic Dubbels of Belgium, our Brother David’s Double has a dark brown body and aromas of warm cocoa, banana, and cloves. Specialty malts impart a toasted, nutty character and flavors of chocolate-covered cherries and candied fruits, while the subdued hop profile and Abbey yeast create spicy, herbal notes to compliment the warm, slightly sweet finish. Winner of a Gold Medal in the 2011 Great American Beer Festival™, Brother David’s Double is a truly complex and potent ale meant to be savored or shared with friends.	",9.0,3.67,15,30,11,58,43,33,145,50,1,90,42,40,104,1,Anderson Valley Brewing Company Brother David's Belgian-style Double Ale,1
1078,Brune,529,Dubbel,14,Brasserie de l'Abbaye du Val-Dieu,Notes:,8.0,4.05,15,30,9,48,28,26,109,38,0,47,20,16,80,1,Brasserie de l'Abbaye du Val-Dieu Val-Dieu Brune,1
1079,St. Feuillien Brune,530,Dubbel,14,Brasserie St. Feuillien,Notes:This brown ale has a marked ruby brown colour with a generous and lasting head. It has a distinctive aroma reflecting the wide range of ingredients used in its production. The fruitiness resulting from its fermentation blends harmoniously with a dominant liquorice and caramel flavour. The body is decidedly malty. The bitterness is the result of a complex alchemy between the fine hops and special malts used. These give St-Feuillien Brune a typical dark chocolate appearance. This beer creates an endless variety of sensations with a lingering taste and powerful aroma.	,8.5,3.81,15,30,10,57,32,22,124,41,2,73,21,18,85,1,Brasserie St. Feuillien St. Feuillien Brune,1
1080,Siamese Twin Ale,531,Dubbel,14,Uncommon Brewers,Notes:,8.5,3.64,15,30,8,40,31,6,108,79,0,104,29,34,67,1,Uncommon Brewers Siamese Twin Ale,1
1081,Benediction,532,Dubbel,14,Russian River Brewing Company,"Notes:Brown in color, Benediction has notes aromas and flavors of chocolate, tobacco, and spice. The finish is mildly malty with just enough bitterness from the hops.Original Gravity: 1.060	",6.75,3.86,15,30,11,47,10,27,79,23,0,36,32,27,58,1,Russian River Brewing Company Benediction,1
1082,Augustijn Donker Brune,533,Dubbel,14,Brouwerij Van Steenberge N.V.,Notes:,8.0,3.8,15,30,9,66,27,24,149,45,0,87,31,42,109,1,Brouwerij Van Steenberge N.V. Augustijn Brune,1
1083,St. Sebastiaan Dark,534,Dubbel,14,Brouwerij Sterkens N.V.,Notes:,6.9,3.89,15,30,13,53,24,16,108,38,1,82,28,16,82,1,Brouwerij Sterkens N.V. St. Sebastiaan Dark,1
1084,Brugse Zot Dubbel,535,Dubbel,14,Brouwerij Straffe Hendrik / Huisbrouwerij De Halve Maan,Notes:,7.5,3.8,15,30,14,39,15,28,108,42,0,58,33,21,79,1,Brouwerij Straffe Hendrik / Huisbrouwerij De Halve Maan Brugse Zot Dubbel,1
